Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID
2012,4,12,29,6,2012/12/29,UA,19977,UA,N454UA,304,10821
2012,4,12,29,6,2012/12/29,AA,19805,AA,N4XTAA,305,12953
2012,4,12,24,1,2012/12/24,FL,20437,FL,N970AT,307,11721
2012,4,12,7,5,2012/12/7,WN,19393,WN,N424WN,308,13232
2012,4,12,13,4,2012/12/13,AS,19930,AS,N769AS,309,14771
2012,4,12,8,6,2012/12/8,FL,20437,FL,N961AT,310,11986
2012,4,12,3,1,2012/12/3,WN,19393,WN,N767SW,311,11697
2012,4,12,5,3,2012/12/5,UA,19977,UA,N432UA,312,14771
2012,4,12,31,1,2012/12/31,DL,19790,DL,N960DL,313,10397
2012,4,12,12,3,2012/12/12,UA,19977,UA,N440UA,317,11292
2012,4,12,24,1,2012/12/24,HA,19690,HA,N478HA,319,13830
2012,4,12,8,6,2012/12/8,FL,20437,FL,N987AT,320,10643
2012,4,12,24,1,2012/12/24,FL,20437,FL,N929AT,321,12278
2012,4,12,7,5,2012/12/7,FL,20437,FL,N986AT,324,12339
2012,4,11,24,6,2012/11/24,AA,19805,AA,N3CRAA,327,12953
2012,4,12,15,6,2012/12/15,UA,19977,UA,N536UA,328,13930
2012,4,12,18,2,2012/12/18,FL,20437,FL,N958AT,329,12339
2012,4,12,21,5,2012/12/21,UA,19977,UA,N454UA,330,11986
2012,4,12,5,3,2012/12/5,UA,19977,UA,N567UA,332,12889
2012,4,12,18,2,2012/12/18,UA,19977,UA,N550UA,334,12892
2012,4,12,22,6,2012/12/22,WN,19393,WN,N963WN,335,14570
2012,4,12,29,6,2012/12/29,AA,19805,AA,N3CUAA,336,13930
2012,4,12,9,7,2012/12/9,AA,19805,AA,N4WAAA,337,12953
2012,4,12,23,7,2012/12/23,B6,20409,B6,N505JB,341,12478
2012,4,12,30,7,2012/12/30,HA,19690,HA,N486HA,343,12173
2012,4,12,19,3,2012/12/19,DL,19790,DL,N369NW,344,10397
2012,4,12,6,4,2012/12/6,WN,19393,WN,N623SW,345,14107
2012,4,12,21,5,2012/12/21,F9,20436,F9,N921FR,346,11292
2012,4,11,11,7,2012/11/11,AA,19805,AA,N553AA,347,12953
2012,4,12,4,2,2012/12/4,VX,21171,VX,N623VA,352,14771
2012,4,12,16,7,2012/12/16,UA,19977,UA,N818UA,356,11292
2012,4,12,10,1,2012/12/10,HA,19690,HA,N486HA,360,12173
2012,4,12,16,7,2012/12/16,UA,19977,UA,N546UA,361,14771
2012,4,12,13,4,2012/12/13,AS,19930,AS,N593AS,362,14747
2012,4,12,10,1,2012/12/10,WN,19393,WN,N760SW,370,10397
2012,4,12,4,2,2012/12/4,UA,19977,UA,N568UA,371,13930
2012,4,12,11,2,2012/12/11,UA,19977,UA,N412UA,372,11423
2012,4,12,14,5,2012/12/14,WN,19393,WN,N8320J,373,14107
2012,4,12,26,3,2012/12/26,US,20355,US,N523UW,374,11298
2012,4,12,6,4,2012/12/6,US,20355,US,N665AW,378,11292
2012,4,12,8,6,2012/12/8,FL,20437,FL,N935AT,381,13204
2012,4,11,23,5,2012/11/23,AA,19805,AA,N479AA,385,11298
2012,4,12,4,2,2012/12/4,WN,19393,WN,N685SW,387,15016
2012,4,12,7,5,2012/12/7,FL,20437,FL,N933AT,388,13204
2012,4,12,17,1,2012/12/17,HA,19690,HA,N481HA,391,12402
2012,4,12,28,5,2012/12/28,UA,19977,UA,N439UA,392,11292
2012,4,12,2,7,2012/12/2,UA,19977,UA,N844UA,398,13930
2012,4,12,19,3,2012/12/19,B6,20409,B6,N517JB,399,12953
2012,4,12,21,5,2012/12/21,US,20355,US,N652AW,400,11278
2012,4,12,18,2,2012/12/18,UA,19977,UA,N453UA,401,12266
