Fulfilment,Sales Channel ,ship-service-level,SKU,Qty,currency,ship-country,fulfilled-by,Unnamed: 22
Merchant,Amazon.in,Standard,J0373-KR-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0008-SKD-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,PJNE3421-KR-N-5XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,PJNE3421-KR-N-4XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,MEN5008-KR-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,MEN5009-KR-XXXL,2,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,MEN5006-KR-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3671-TU-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE1525-KR-UDF19BLACK-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0401-DR-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET393-KR-NP-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE2153-KR-278-A-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0083-KR-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-A-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET388-KR-NP-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET304-KR-DPT-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3776-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3869-DR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3446-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3869-DR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET037-KR-NP-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET145-KR-NP-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0148-SET-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3265-KR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0181-TP-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3567-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0117-TP-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0118-TP-XL,1,INR,IN,Easy Ship,False
