Fulfilment,Sales Channel ,ship-service-level,SKU,currency,ship-country,fulfilled-by,Unnamed: 22
Merchant,Amazon.in,Standard,J0008-SKD-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,PJNE3421-KR-N-5XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,PJNE3421-KR-N-4XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,MEN5008-KR-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,MEN5009-KR-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,MEN5006-KR-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3671-TU-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE1525-KR-UDF19BLACK-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0401-DR-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET393-KR-NP-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE2153-KR-278-A-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0083-KR-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-A-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET388-KR-NP-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET304-KR-DPT-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3776-KR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3869-DR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3446-KR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3869-DR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET037-KR-NP-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET145-KR-NP-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0148-SET-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3265-KR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0181-TP-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3567-KR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0117-TP-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0118-TP-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3568-KR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3510-KR-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET310-KR-NP-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET223-KR-NP-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET223-KR-NP-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3793-KR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET327-KR-DPT-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0013-SKD-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE2171-KR-437-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-A-XS,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3619-KR-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3724-KR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0083-KR-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3869-DR-S,INR,IN,Easy Ship,False
