index,Fulfilment,Sales Channel ,ship-service-level,currency,ship-country,fulfilled-by,Unnamed: 22
50400,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50408,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50409,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50410,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50420,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50421,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50424,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50432,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50433,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50435,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50437,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50441,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50445,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50466,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50469,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50475,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50479,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50512,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50522,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50527,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50531,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50535,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50541,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50542,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50544,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50545,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50547,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50559,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50569,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50572,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50577,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50578,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50583,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50587,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50589,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50595,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50597,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50598,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50605,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50606,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50608,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50609,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50614,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50619,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50620,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50625,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50626,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50633,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50635,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50641,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50643,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50648,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50653,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50654,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50666,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50673,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50676,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50679,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50684,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50691,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50695,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50701,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50703,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50709,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50711,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50712,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50714,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50716,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
